"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
105;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 06:55:49";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
106;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"true";"low";"true";"low";"true";"local";"low";"low"
107;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
108;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
109;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
110;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
111;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
112;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
113;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"2021-03-07 06:55:50";"offline";"false";"low";"false";"low";"true";"global";"low";"low"
114;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"true";"low";"false";"low";"false";"shared";"low";"low"
115;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"2021-03-07 06:55:50";"offline";"false";"low";"false";"low";"true";"local";"low";"low"
116;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:17:36";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
117;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:19:41";"offline";"true";"low";"true";"low";"true";"local";"low";"low"
